>>>>> statistic <<<<<	NameOfTAS:	syme_symr	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	315	18	316	20	514	108	532	439	736	142	445		
1. sequence analysis	round2	501	18	502	51	1007	190	1507	1208	5259	1547	1565		
1. sequence analysis	round3	776	9	777	82	1030	208	1856	1547	6162	1804	2217		
1. sequence analysis	round4	1055	0	1057	125	1034	211	2055	1689	6987	2024	2614		
1. sequence analysis	round5	1063	6	1064	133	1034	212	2133	1777	9739	2771	3348		
2. structure analysis	structure of round5	1450	0	---	---	---	---	---	---	---	---	---	
	Dickeya_dianthicola	11	0	11	3	0	0	0	0	23	6	0	
	Dickeya_sp	3	0	3	3	0	0	0	0	6	3	0	
	Dickeya_zeae	4	0	4	4	3	3	0	0	9	5	0	
	Edwardsiella_anguillarum	1	0	1	1	0	0	0	0	2	1	0	
	Edwardsiella_sp	1	0	1	1	0	0	0	0	2	1	0	
	Enterobacter_asburiae	3	0	3	3	2	2	0	0	4	3	0	
	Enterobacter_bugandensis	1	0	1	1	0	0	0	0	2	1	0	
	Enterobacter_cloacae	22	0	22	19	7	4	0	0	37	22	0	
	Enterobacter_hormaechei	8	0	8	7	0	0	0	0	16	7	0	
	Enterobacteriaceae_bacterium	3	0	4	3	5	3	0	0	6	5	0	
	Enterobacter_kobei	1	0	1	1	0	0	0	0	2	1	0	
	Enterobacter_ludwigii	1	0	1	1	1	1	0	0	1	1	0	
	Enterobacter_roggenkampii	1	0	1	1	0	0	0	0	2	1	0	
	Enterobacter_sp	4	0	4	3	0	0	0	0	8	4	0	
	Enterobacter_xiangfangensis	1	0	1	1	0	0	0	0	2	1	0	
	Erwinia_carotovora	4	0	4	3	0	0	0	0	8	5	0	
	Erwinia_persicina	1	0	1	1	1	1	0	0	2	1	0	
	Erwinia_pyrifoliae	16	0	16	6	6	4	0	0	32	7	0	
	Erwinia_sp	8	0	8	5	3	3	0	0	16	8	0	
	Escherichia_albertii	11	0	22	6	22	11	0	0	22	11	0	
	Escherichia_coli	430	0	850	34	840	65	0	0	859	74	0	
	Escherichia_fergusonii	2	0	4	2	4	2	0	0	4	2	0	
	Escherichia_marmotae	1	0	2	1	2	1	0	0	2	1	0	
	Klebsiella_aerogenes	4	0	6	4	4	3	0	0	7	5	0	
	Klebsiella_michiganensis	16	0	31	9	23	9	0	0	32	9	0	
	Klebsiella_oxytoca	25	0	50	11	33	18	0	0	50	25	0	
	Klebsiella_pneumoniae	33	0	66	3	66	3	0	0	66	3	0	
	Klebsiella_quasipneumoniae	1	0	2	1	2	1	0	0	2	1	0	
	Klebsiella_sp	8	0	14	7	10	7	0	0	15	9	0	
	Klebsiella_variicola	1	0	2	1	2	1	0	0	2	1	0	
	Kosakonia_cowanii	2	0	4	2	4	2	0	0	4	2	0	
	Kosakonia_radicincitans	2	0	4	1	2	1	0	0	4	1	0	
	Kosakonia_sp	1	0	2	1	2	1	0	0	2	1	0	
	Leclercia_adecarboxylata	2	0	2	2	2	2	0	0	4	4	0	
	Leclercia_sp	2	0	2	1	2	2	0	0	4	3	0	
	Lelliottia_amnigena	1	0	1	1	1	1	0	0	1	1	0	
	Lelliottia_sp	4	0	4	4	2	2	0	0	8	5	0	
	Leminorella_richardii	2	0	2	2	3	2	0	0	4	3	0	
	Limnobaculum_parvum	2	0	2	1	0	0	0	0	4	1	0	
	Lonsdalea_britannica	1	0	1	1	0	0	0	0	2	1	0	
	Pantoea_agglomerans	19	0	23	10	18	7	0	0	38	14	0	
	Pantoea_ananatis	11	0	20	6	11	8	0	0	22	13	0	
	Pantoea_vagans	13	0	17	13	11	6	0	0	26	14	0	
	Paraburkholderia_fungorum	1	0	1	1	0	0	0	0	2	2	0	
	Paraburkholderia_sp	5	0	5	4	0	0	0	0	10	7	0	
	Pectobacterium_atrosepticum	5	0	5	3	1	1	0	0	10	5	0	
	Pectobacterium_carotovorum	3	0	3	3	3	3	0	0	5	3	0	
	Pectobacterium_parmentieri	48	0	49	11	7	3	0	0	107	24	0	
	Photorhabdus_laumondii	14	0	14	3	0	0	0	0	28	5	0	
	Photorhabdus_luminescens	18	0	18	3	0	0	0	0	36	3	0	
	Photorhabdus_temperata	11	0	11	3	11	5	0	0	22	5	0	
	Phytobacter_ursingii	1	0	2	1	2	1	0	0	2	1	0	
	Pluralibacter_gergoviae	2	0	2	2	0	0	0	0	4	2	0	
	Providencia_rettgeri	2	0	2	1	0	0	0	0	4	1	0	
	Providencia_stuartii	3	0	3	1	0	0	0	0	6	2	0	
	Pseudomonas_granadensis	1	0	1	1	0	0	0	0	2	1	0	
	Pseudomonas_pseudoalcaligenes	1	0	1	1	0	0	0	0	2	2	0	
	Pseudomonas_sp	1	0	1	1	0	0	0	0	2	2	0	
	Ralstonia_solanacearum	8	0	8	3	0	0	0	0	16	3	0	
	Raoultella_ornithinolytica	14	0	25	10	18	13	0	0	27	16	0	
	Raoultella_planticola	9	0	15	6	10	6	0	0	18	7	0	
	Raoultella_sp	1	0	2	1	2	1	0	0	2	1	0	
	Raoultella_terrigena	3	0	4	3	3	3	0	0	6	3	0	
	Salmonella_bongori	4	0	8	2	8	3	0	0	8	3	0	
	Salmonella_enterica	402	0	803	38	807	61	0	0	796	69	0	
	Serratia_fonticola	3	0	3	3	0	0	0	0	6	5	0	
	Serratia_marcescens	6	0	12	1	12	1	0	0	12	2	0	
	Serratia_odorifera	1	0	1	1	0	0	0	0	2	2	0	
	Serratia_plymuthica	9	0	9	3	0	0	0	0	18	10	0	
	Serratia_sp	4	0	4	2	0	0	0	0	8	3	0	
	Shigella_boydii	5	0	10	2	10	3	0	0	10	3	0	
	Shigella_dysenteriae	3	0	5	3	4	2	0	0	6	3	0	
	Shigella_flexneri	33	0	66	1	66	1	0	0	66	1	0	
	Shigella_sp	1	0	2	1	2	1	0	0	2	1	0	
	Xenorhabdus_bovienii	3	0	3	3	2	2	0	0	6	3	0	
	Xenorhabdus_doucetiae	5	0	5	4	5	5	0	0	10	5	0	
	Xenorhabdus_hominickii	1	0	1	1	1	1	0	0	2	1	0	
	Xenorhabdus_nematophila	10	0	10	2	10	6	0	0	20	6	0	
	Xenorhabdus_poinarii	2	0	2	1	2	2	0	0	4	2	0	
	Yersinia_intermedia	2	0	2	1	0	0	0	0	4	1	0	
	Yersinia_pestis	35	0	35	1	0	0	0	0	70	1	0	
	Yersinia_pseudotuberculosis	10	0	10	1	0	0	0	0	20	4	0	
	Yersinia_ruckeri	2	0	2	1	0	0	0	0	4	1	0	
	Yersinia_similis	1	0	1	1	0	0	0	0	2	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
