>>>>> statistic <<<<<	NameOfTAS:	hok_sok_ena	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	0	0	576	30	435	27	305	202	704	94	207		
1. sequence analysis	round2	862	24	1159	45	718	72	972	626	7563	781	666		
1. sequence analysis	round3	876	90	2327	87	840	100	1117	740	10573	1161	817		
1. sequence analysis	round4	1009	90	2946	121	1017	118	1160	774	11087	1307	897		
1. sequence analysis	round5	2712	90	3041	129	1022	121	1161	789	11118	1453	1028		
2. structure analysis	structure of round5	2474	90	---	---	---	---	---	---	---	---	---	
	Candidatus_Fukatsuia	2	78	2	2	2	1	0	0	4	2	0	
	Citrobacter_rodentium	1	66	1	1	1	1	0	0	2	1	0	
	Cronobacter_dublinensis	1	78	1	1	1	1	0	0	2	2	0	
	Cronobacter_malonaticus	4	78	4	2	2	1	0	0	8	4	0	
	Cronobacter_muytjensii	1	78	1	1	0	0	0	0	2	2	0	
	Cronobacter_sakazakii	13	78	13	2	6	4	0	0	26	17	0	
	Cronobacter_turicensis	2	78	2	2	1	1	0	0	4	4	0	
	Cronobacter_universalis	2	78	2	2	1	1	0	0	4	4	0	
	Enterobacter_asburiae	5	78	5	2	2	2	0	0	10	10	0	
	Enterobacter_bugandensis	1	75	1	1	1	1	0	0	2	2	0	
	Enterobacter_cancerogenus	2	75	2	2	1	1	0	0	4	3	0	
	Enterobacter_cloacae	70	84	70	8	44	25	0	0	140	50	0	
	Enterobacter_hormaechei	33	84	33	8	18	10	0	0	67	29	0	
	Enterobacteriaceae_bacterium	10	90	15	8	4	4	0	0	20	13	0	
	Enterobacter_kobei	2	66	2	1	2	2	0	0	4	2	0	
	Enterobacter_lignolyticus	2	75	2	2	0	0	0	0	4	4	0	
	Enterobacter_roggenkampii	3	75	3	2	3	3	0	0	6	6	0	
	Enterobacter_sp	5	78	5	3	4	4	0	0	10	9	0	
	Enterobacter_xiangfangensis	1	75	1	1	0	0	0	0	2	2	0	
	Erwinia_sp	1	72	1	1	1	1	0	0	2	1	0	
	Escherichia_albertii	42	87	72	19	11	5	0	0	85	24	0	
	Escherichia_coli	2600	90	4718	103	391	14	0	0	5205	247	0	
	Escherichia_fergusonii	5	87	8	3	2	2	0	0	10	4	0	
	Escherichia_marmotae	3	87	6	2	0	0	0	0	6	2	0	
	Hafnia_alvei	6	75	6	3	6	5	0	0	12	5	0	
	Hafnia_sp	1	75	1	1	1	1	0	0	2	1	0	
	Klebsiella_aerogenes	8	72	8	4	3	3	0	0	16	5	0	
	Klebsiella_michiganensis	15	72	15	3	15	4	0	0	30	5	0	
	Klebsiella_oxytoca	29	72	29	6	29	11	0	0	58	13	0	
	Klebsiella_pneumoniae	570	72	570	14	224	17	0	0	1140	47	0	
	Klebsiella_quasipneumoniae	27	72	27	6	17	5	0	0	54	16	0	
	Klebsiella_quasivariicola	2	72	2	2	1	1	0	0	4	3	0	
	Klebsiella_sp	11	72	11	8	8	8	0	0	22	14	0	
	Klebsiella_variicola	37	72	37	3	18	6	0	0	74	11	0	
	Kluyvera_intermedia	1	66	1	1	1	1	0	0	2	1	0	
	Leclercia_adecarboxylata	1	72	1	1	1	1	0	0	2	1	0	
	Leclercia_sp	2	75	2	2	1	1	0	0	4	3	0	
	Lelliottia_amnigena	1	75	1	1	0	0	0	0	2	2	0	
	Lelliottia_nimipressuralis	2	75	2	2	2	2	0	0	4	3	0	
	Lelliottia_sp	1	81	1	1	0	0	0	0	2	2	0	
	Obesumbacterium_proteus	1	75	1	1	1	1	0	0	2	1	0	
	Pantoea_vagans	1	78	1	1	1	1	0	0	2	2	0	
	Photorhabdus_asymbiotica	2	66	2	1	2	1	0	0	4	1	0	
	Photorhabdus_laumondii	4	69	4	3	2	1	0	0	8	3	0	
	Photorhabdus_luminescens	4	69	4	2	2	1	0	0	8	3	0	
	Photorhabdus_temperata	6	69	6	2	0	0	0	0	12	5	0	
	Pluralibacter_gergoviae	4	75	4	3	3	2	0	0	8	4	0	
	Proteus_mirabilis	5	75	5	2	0	0	0	0	10	4	0	
	Providencia_stuartii	1	75	1	1	0	0	0	0	2	2	0	
	Salmonella_enterica	273	90	528	19	11	6	0	0	546	26	0	
	Serratia_ficaria	1	69	1	1	0	0	0	0	2	2	0	
	Serratia_fonticola	1	72	1	1	0	0	0	0	2	2	0	
	Serratia_marcescens	39	69	39	5	0	0	0	0	78	29	0	
	Serratia_odorifera	1	72	1	1	0	0	0	0	2	1	0	
	Serratia_plymuthica	10	72	10	1	0	0	0	0	20	11	0	
	Serratia_proteamaculans	2	75	2	2	0	0	0	0	4	3	0	
	Serratia_quinivorans	4	75	4	2	0	0	0	0	8	4	0	
	Serratia_sp	12	72	12	4	0	0	0	0	24	15	0	
	Shigella_boydii	58	87	104	13	12	2	0	0	116	15	0	
	Shigella_dysenteriae	94	87	167	17	12	2	0	0	188	20	0	
	Shigella_flexneri	126	87	250	11	1	1	0	0	252	11	0	
	Shigella_sonnei	24	87	43	5	5	1	0	0	48	6	0	
	Shigella_sp	2	87	4	2	0	0	0	0	4	2	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	Shigella_sp_PAMC_28760_chromosome_complete_genome	2	
