>>>>> statistic <<<<<	NameOfTAS:	hok_sok_tadb_sr2	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	539	48	566	72	602	54	305	202	704	94	207		
1. sequence analysis	round2	892	48	895	163	1097	122	972	626	7563	781	666		
1. sequence analysis	round3	1051	48	1059	189	1407	170	1117	740	10573	1161	817		
2. structure analysis	structure of round3	8903	0	---	---	---	---	---	---	---	---	---	
	Serratia_fonticola	18	0	18	18	7	5	0	0	36	19	0	
	Serratia_liquefaciens	6	0	6	5	6	4	0	0	12	5	0	
	Serratia_marcescens	119	0	120	73	108	27	0	0	238	80	0	
	Serratia_odorifera	1	0	1	1	1	1	0	0	2	2	0	
	Serratia_plymuthica	26	0	26	16	26	9	0	0	52	17	0	
	Serratia_proteamaculans	3	0	3	3	2	2	0	0	6	3	0	
	Serratia_quinivorans	8	0	8	7	3	2	0	0	16	5	0	
	Serratia_sp	38	0	38	34	27	20	0	0	76	49	0	
	Shigella_boydii	61	0	66	20	16	7	0	0	122	18	0	
	Shigella_dysenteriae	101	0	111	24	23	6	0	0	202	22	0	
	Shigella_flexneri	178	0	184	23	23	8	0	0	356	18	0	
	Shigella_sonnei	19	0	20	5	6	2	0	0	38	5	0	
	Shigella_sp	3	0	3	3	0	0	0	0	6	5	0	
	Vibrio_campbellii	1	0	1	1	0	0	0	0	2	2	0	
	Vibrio_parahaemolyticus	1	0	1	1	0	0	0	0	2	2	0	
	Vibrio_vulnificus	1	0	1	1	0	0	0	0	2	1	0	
	Yersinia_aldovae	1	0	1	1	1	1	0	0	2	1	0	
	Yersinia_enterocolitica	13	0	13	2	13	2	0	0	26	2	0	
	Yersinia_rohdei	1	0	1	1	1	1	0	0	2	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
